name,role,team,appearances,goals,assists,yellow_cards,red_cards,mvps,goals_con,ratio
Carles Planas,Defender,Los Troncos FC,4,2,1,0,0,0,0,0
Joan Verdú,Midfielder,Los Troncos FC,4,4,5,0,0,0,0,0
Ferran Corominas,Forward,Ultimate Móstoles,3,2,1,0,0,0,0,0
Javi Espinosa,Midfielder,Aniquiladores FC,3,0,0,0,0,0,0,0
Fran Hernández,Midfielder,Real Titán FC,2,5,0,1,0,1,0,0
Hugo Fraile,Midfielder,Aniquiladores FC,3,1,0,0,0,0,0,0
Fuad El Amrani,Midfielder,xBuyer Team,5,5,5,0,0,2,0,0
Nadir Louah,Defender,Porcinos FC,6,5,2,0,0,0,0,0
Nico Pareja,Defender,Kunisports,3,0,0,0,0,0,0,0
Martín Mantovani,Defender,Saiyans FC,6,0,1,0,0,0,0,0
Augusto Fernández,Midfielder,Saiyans FC,6,1,1,1,0,0,0,0
Diego de la Mata,Defender,Ultimate Móstoles,4,2,4,0,0,0,0,0
David López,Midfielder,Saiyans FC,6,1,1,1,0,0,0,0
Gerard Verge,Midfielder,Aniquiladores FC,3,3,1,0,0,0,0,0
Fernando Velillas,Forward,xBuyer Team,5,3,2,0,0,0,0,0
Marc Torrejón,Defender,1K FC,3,0,0,0,0,0,0,0
Víctor Mongil,Defender,PIO FC,3,2,0,0,0,0,0,0
Nando Quesada,Midfielder,Jijantes FC,3,1,0,0,0,0,0,0
Pablo Hernández,Midfielder,Porcinos FC,6,8,1,0,0,0,0,0
Sergio Juste,Defender,Jijantes FC,3,0,0,0,0,0,0,0
Leandro Gómez,Forward,Galácticos del Caribe,2,2,0,0,0,0,0,0
Luis Lozoya,Defender,Peluche Caligari,3,0,1,0,0,0,0,0
David Cabrera,Midfielder,Los Aliens FC,4,3,5,0,0,0,0,0
Jordi Gómez,Midfielder,Kunisports,3,6,1,0,0,1,0,0
Alberto de la Bella,Defender,Ultimate Móstoles,4,1,1,0,0,0,0,0
Osvaldo Martínez,Midfielder,Raniza FC,3,1,0,0,0,0,0,0
Antonio Monterde,Goalkeeper,Persas FC,3,0,0,1,0,0,5,1.67
Emanuel 'Tito' Villa,Forward,Muchachos FC,4,3,1,0,0,1,0,0
Rodolfo Salinas,Midfielder,Olimpo United,5,2,0,2,0,0,0,0
Marco Bueno,Forward,Olimpo United,5,3,0,0,0,1,0,0
José Joaquín 'Shaggy' Martínez,Defender,Peluche Caligari,3,2,2,0,0,0,0,0
Pere Martínez,Defender,xBuyer Team,5,1,0,1,0,0,0,0
Jonathan Orozco,Goalkeeper,Muchachos FC,4,0,0,0,0,0,18,4.50
Mario Osuna,Defender,Olimpo United,5,4,0,1,0,1,0,0
Daviz Junco,Forward,Galácticos del Caribe,2,1,2,0,0,0,0,0
Mauricio Campos,Midfielder,Peluche Caligari,3,2,0,0,0,0,0,0
Max Levy,Midfielder,Club de Cuervos,0,0,0,0,0,0,0,0
José Azkenazi,Forward,Club de Cuervos,3,1,0,1,0,0,0,0
Diego Martínez,Midfielder,Muchachos FC,4,7,0,0,0,0,0,0
Alberto García,Forward,Real Titán FC,2,1,0,0,0,0,0,0
Andreas Vaz,Midfielder,G3X FC,6,3,0,0,0,0,0,0
Miguel Rebollo,Forward,Los Aliens FC,4,7,1,0,0,1,0,0
Obed Martínez,Midfielder,Raniza FC,3,3,1,0,0,1,0,0
Jhon Monsalve,Forward,West Santos FC,2,1,0,0,0,0,0,0
Marcelinho Urbano,Forward,Furia F.C.,4,0,1,0,0,0,0,0
Bruno Agnello,Midfielder,G3X FC,5,0,0,0,0,0,0,0
Francisco Estrada,Midfielder,West Santos FC,2,0,0,1,0,0,0,0
Carlos Calvo,Defender,Real Titán FC,2,0,0,0,0,0,0,0
Sergi Monsalve,Goalkeeper,Medallo City,1,0,0,0,0,0,2,2.00
Nabil Jaadi,Forward,Deptostra FC,2,2,1,0,0,0,0,0
Ethan Hazard,Forward,Deptostra FC,1,0,0,0,0,0,0,0
Bernat Burguera,Forward,Medallo City,2,1,0,0,0,0,0,0
Itsuki Yamada,Defender,Murash FC,1,0,0,0,0,0,0,0
Juan Peña,Midfielder,Persas FC,3,0,1,0,0,0,0,0
Daisuke Nasu,Defender,Murash FC,2,0,0,0,1,0,0,0
Shohei Moriyasu,Midfielder,Murash FC,3,0,0,0,0,0,0,0
Walter Ayoví,Midfielder,Raniza FC,2,1,2,0,0,0,0,0
Serhat Kot,Midfielder,Limon FC,5,3,0,0,0,1,0,0
Jack 'Street Panna' Downer,Defender,FIVE FC,0,0,0,0,0,0,0,0
Williams 'Vassoura' Oliveira,Midfielder,SXB FC,3,1,0,0,0,1,0,0
Yasser Al-Qahtani,Forward,SXB FC,1,0,0,0,0,0,0,0
Diego Díaz,Forward,Jijantes FC,3,2,0,0,0,0,0,0
Nicolás Gaitán,Midfielder,Kunisports,3,4,0,0,0,0,0,0
Max Marcet,Midfielder,Los Troncos FC,4,4,3,0,0,0,0,0
Rubens Sambueza,Defender,PIO FC,3,1,2,0,0,0,0,0
Jordi Cano,Forward,PIO FC,3,0,1,1,0,0,0,0
Artem Fedetskyi,Defender,UA Steel,2,0,0,0,0,0,0,0
Valeriy Fedorchuk,Midfielder,UA Steel,2,0,0,0,0,0,0,0
Juan López,Forward,Persas FC,3,0,0,0,0,0,0,0
Fredy Rodríguez,Midfielder,West Santos FC,2,2,0,1,0,0,0,0
Gabriel Peñalba,Midfielder,Galácticos del Caribe,2,0,0,0,0,0,0,0
César Vallejo,Forward,Los Aliens FC,4,1,0,1,0,0,0,0
Anton Ferdinand,Defender,FIVE FC,1,0,0,0,0,0,0,0
Jermaine Pennant,Forward,FIVE FC,1,0,0,0,0,0,0,0
Eden Hazard,Forward,Deptostra FC,2,0,0,0,0,0,0,0
Falcão,Midfielder,Furia F.C.,4,2,0,0,0,1,0,0
Matheus 'Negrete' Nunes,Midfielder,Furia F.C.,2,0,0,0,0,0,0,0
Kelvin Oliveira,Forward,G3X FC,6,13,7,0,0,5,0,0
Memos Sözer,Defender,Limon FC,5,3,1,0,0,1,0,0
Mete Demir,Midfielder,Limon FC,5,4,0,0,0,1,0,0
Francesco Totti,Midfielder,Stallions,2,1,0,0,0,2,0,0
Radja Nainggolan,Midfielder,Stallions,3,0,0,0,0,0,0,0
Emiliano Viviano,Goalkeeper,Stallions,4,0,0,0,0,0,9,2.25
Samir Nasri,Midfielder,Foot2Rue,1,0,0,0,0,0,0,0
Jérémy Ménez,Forward,Foot2Rue,3,1,0,0,0,0,0,0
Élton 'Arábia' Gomes,Midfielder,SXB FC,3,0,0,0,0,0,0,0
Julien Vercauteren,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Besar Halimi,Midfielder,Youniors F.C.,2,0,0,0,0,0,0,0
Daniel  Brosinski,Defender,Youniors F.C.,2,0,1,0,0,0,0,0
Jonathan Sánchez,Defender,Medallo City,2,0,0,1,0,0,0,0
Carles Planas,Defender,Los Troncos FC,4,2,1,0,0,0,0,0
José Segovia,Goalkeeper,Jijantes FC,3,0,0,0,0,2,9,3.00
Kilian Honorato,Forward,Ultimate Móstoles,4,1,0,0,0,0,0,0
Joselete Blanco,Forward,Rayo de Barcelona,0,0,0,0,0,0,0,0
Sergi Aguilar,Goalkeeper,Kunisports,2,0,0,1,0,0,2,1.00
Marc Briones,Goalkeeper,Porcinos FC,6,0,0,0,0,1,21,3.50
Gio Ferinu,Forward,Saiyans FC,5,0,0,0,0,0,0,0
Alex Campuzano,Defender,Kunisports,3,0,0,0,0,0,0,0
Victor Torres,Defender,xBuyer Team,3,0,0,0,0,0,0,0
Feliu Torrus,Midfielder,Ultimate Móstoles,4,0,1,0,0,0,0,0
David Alba,Forward,Aniquiladores FC,3,0,0,0,0,0,0,0
Roger Carbó,Midfielder,xBuyer Team,4,4,0,0,0,0,0,0
Iván Fajardo,Goalkeeper,Saiyans FC,0,0,0,0,0,0,0,0
Dani Pérez,Goalkeeper,Saiyans FC,6,0,0,0,0,2,22,3.67
Marc Galvany,Midfielder,Saiyans FC,2,0,0,0,0,0,0,0
Bernat Rovira,Midfielder,Aniquiladores FC,3,1,0,0,0,0,0,0
Gilles Vidal,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Xavi Morales,Goalkeeper,Aniquiladores FC,1,0,0,0,0,0,0,0.00
Jacobo Fernández de Liencres,Forward,Porcinos FC,5,1,0,0,0,0,0,0
Aleix Massegú,Defender,Ultimate Móstoles,4,0,0,0,0,0,0,0
Pablo Beguer,Midfielder,xBuyer Team,5,6,3,0,0,1,0,0
Jordi Ros,Midfielder,Aniquiladores FC,3,0,0,0,0,0,0,0
Cristian Ubón,Midfielder,Ultimate Móstoles,4,4,2,1,0,1,0,0
Pau 'ZZ' Ruiz,Defender,El Barrio,0,0,0,0,0,0,0,0
Oriol Boada,Forward,El Barrio,0,0,0,0,0,0,0,0
Lluis Alsina,Midfielder,1K FC,3,0,0,0,0,0,0,0
Pol Zapata,Goalkeeper,Aniquiladores FC,3,0,0,1,0,1,8,2.67
Roger de la Villa,Forward,xBuyer Team,4,0,0,0,0,0,0,0
Joel Macarulla,Midfielder,Aniquiladores FC,3,0,0,0,0,0,0,0
Mario León,Goalkeeper,Jijantes FC,0,0,0,0,0,0,0,0
